state,date,cases
Japan,2020-01-03,0
Japan,2020-01-04,0
Japan,2020-01-05,0
Japan,2020-01-06,0
Japan,2020-01-07,0
Japan,2020-01-08,0
Japan,2020-01-09,0
Japan,2020-01-10,0
Japan,2020-01-11,0
Japan,2020-01-12,0
Japan,2020-01-13,0
Japan,2020-01-14,1
Japan,2020-01-15,0
Japan,2020-01-16,0
Japan,2020-01-17,0
Japan,2020-01-18,0
Japan,2020-01-19,0
Japan,2020-01-20,3
Japan,2020-01-21,0
Japan,2020-01-22,1
Japan,2020-01-23,1
Japan,2020-01-24,1
Japan,2020-01-25,1
Japan,2020-01-26,0
Japan,2020-01-27,1
Japan,2020-01-28,0
Japan,2020-01-29,1
Japan,2020-01-30,0
Japan,2020-01-31,2
Japan,2020-02-01,2
Japan,2020-02-02,4
Japan,2020-02-03,9
Japan,2020-02-04,5
Japan,2020-02-05,1
Japan,2020-02-06,5
Japan,2020-02-07,1
Japan,2020-02-08,3
Japan,2020-02-09,1
Japan,2020-02-10,7
Japan,2020-02-11,1
Japan,2020-02-12,6
Japan,2020-02-13,6
Japan,2020-02-14,10
Japan,2020-02-15,7
Japan,2020-02-16,13
Japan,2020-02-17,11
Japan,2020-02-18,15
Japan,2020-02-19,16
Japan,2020-02-20,20
Japan,2020-02-21,17
Japan,2020-02-22,19
Japan,2020-02-23,24
Japan,2020-02-24,34
Japan,2020-02-25,35
Japan,2020-02-26,28
Japan,2020-02-27,22
Japan,2020-02-28,36
Japan,2020-02-29,25
Japan,2020-03-01,26
Japan,2020-03-02,36
Japan,2020-03-03,27
Japan,2020-03-04,33
Japan,2020-03-05,29
Japan,2020-03-06,31
Japan,2020-03-07,41
Japan,2020-03-08,30
Japan,2020-03-09,37
Japan,2020-03-10,28
Japan,2020-03-11,41
Japan,2020-03-12,28
Japan,2020-03-13,39
Japan,2020-03-14,34
Japan,2020-03-15,28
Japan,2020-03-16,31
Japan,2020-03-17,44
Japan,2020-03-18,59
Japan,2020-03-19,82
Japan,2020-03-20,90
Japan,2020-03-21,83
Japan,2020-03-22,105
Japan,2020-03-23,176
Japan,2020-03-24,159
Japan,2020-03-25,171
Japan,2020-03-26,206
Japan,2020-03-27,320
Japan,2020-03-28,311
Japan,2020-03-29,319
Japan,2020-03-30,473
Japan,2020-03-31,406
Japan,2020-04-01,538
Japan,2020-04-02,414
Japan,2020-04-03,533
Japan,2020-04-04,445
Japan,2020-04-05,383
Japan,2020-04-06,470
Japan,2020-04-07,411
Japan,2020-04-08,385
Japan,2020-04-09,336
Japan,2020-04-10,371
Japan,2020-04-11,356
Japan,2020-04-12,283
Japan,2020-04-13,323
Japan,2020-04-14,292
Japan,2020-04-15,280
Japan,2020-04-16,226
Japan,2020-04-17,225
Japan,2020-04-18,216
Japan,2020-04-19,156
Japan,2020-04-20,219
Japan,2020-04-21,155
Japan,2020-04-22,162
Japan,2020-04-23,106
Japan,2020-04-24,147
Japan,2020-04-25,115
Japan,2020-04-26,104
Japan,2020-04-27,121
Japan,2020-04-28,94
Japan,2020-04-29,69
Japan,2020-04-30,77
Japan,2020-05-01,70
Japan,2020-05-02,59
Japan,2020-05-03,39
Japan,2020-05-04,28
Japan,2020-05-05,19
Japan,2020-05-06,17
Japan,2020-05-07,7
